Наименование ЛПУ;Адрес ЛПУ;Телефон;Виды помощи
"""ИНВИТРО СПб"" ООО";196626, Санкт-Петербург г, Шушары п, Вишерская ул, дом № 22;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";196634, Санкт-Петербург г, Шушары п, Ростовская (Славянка тер.) ул, дом № 19/3;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";196637, Санкт-Петербург г, Ленинский пр-кт, дом № 56;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";196641, Санкт-Петербург г, Металлострой п, Центральная ул, дом № 19, корпус 3;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";196653, Санкт-Петербург г, Колпино г, Пролетарская ул, дом № 17/42;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";196655, Санкт-Петербург г, Колпино г, Тверская ул, дом № 38;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197101, Санкт-Петербург г, Каменноостровский пр-кт, дом № 34;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197101, Санкт-Петербург г, Кронверкский пр-кт, дом № 29;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197183, Санкт-Петербург г, Савушкина ул, дом № 16;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197198, Санкт-Петербург г, Ижорская ул, дом № 13/39;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197198, Санкт-Петербург г, Яблочкова ул, дом № 22/3;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197198, Санкт-Петербург г, Яблочкова ул, дом № 22/3, литера .а, пом. 5-Н;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197227, Санкт-Петербург г, Дыбенко ул, дом № 27;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197227, Санкт-Петербург г, Комендантский пр-кт, дом № 10;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197227, Санкт-Петербург г, Ленсовета ул, дом № 89;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197229, Санкт-Петербург г, Юнтоловский пр-кт, дом № 43, корпус 14 строение 1;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197341, Санкт-Петербург г, Коломяжский пр-кт, дом № 28, корпус 2;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197345, Санкт-Петербург г, Туристская ул, дом № 24/42;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197348, Санкт-Петербург г, Богатырский пр-кт, дом № 7, корпус 2;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197350, Санкт-Петербург г, Лидии Зверевой ул, дом № 9, корпус 2, стр.1, пом.61-Н;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197373, Санкт-Петербург г, Комендантский пр-кт, дом № 34, корпус 1;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197373, Санкт-Петербург г, Комендантский пр-кт, дом № 71;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197374, Санкт-Петербург г, Савушкина ул, дом № 124, корпус 1;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197374, Санкт-Петербург г, Торфяная дор, дом № 17, корпус 1;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197375, Санкт-Петербург г, Новоколомяжский пр-кт, дом № 13, литера А, пом. 13-Н;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197375, Санкт-Петербург г, Орлово-Денисовский пр-кт, дом № 19, корпус 1, стр.1, пом. 10-Н;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197706, Санкт-Петербург г, Сестрорецк г, Токарева ул, дом № 18;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197758, Санкт-Петербург г, Песочный п, Садовая ул, дом № 88, стр.1;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";197760, Санкт-Петербург г, Кронштадт г, Гражданская ул, дом № 8;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";198096, Санкт-Петербург г, Кронштадтская ул, дом № 4;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";198205, Санкт-Петербург г, Ветеранов пр-кт, дом № 171, корпус 2;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";198206, Санкт-Петербург г, Адмирала Коновалова ул, дом № 2-4;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";198206, Санкт-Петербург г, Петергофское ш, дом № 84, корпус 19;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";198216, Санкт-Петербург г, Новаторов б-р, дом № 13;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";198259, Санкт-Петербург г, Ветеранов пр-кт, дом № 158;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";198261, Санкт-Петербург г, Генерала Симоняка ул, дом № 4, корпус 1;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";198264, Санкт-Петербург г, Ветеранов пр-кт, дом № 171, корпус 2;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";198303, Санкт-Петербург г, Маршала Жукова пр-кт, дом № 28, корпус 1;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";198328, Санкт-Петербург г, Героев пр-кт, дом № 30;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";198328, Санкт-Петербург г, Ленинский пр-кт, дом № 77, корпус 1;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";198412, Санкт-Петербург г, Ломоносов г, Еленинская ул, дом № 4;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";199004, Санкт-Петербург г, 6-я В.О. линия, дом № 43;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";199106, Санкт-Петербург г, 26-я В.О. линия, дом № 7;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";199155, Санкт-Петербург г, Капитанская ул, дом № 4;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";199155, Санкт-Петербург г, Наличная ул, дом № 49;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";199226, Санкт-Петербург г, Александра Грина б-р, дом № 2;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";236001, Калининградская обл, Калининград г, Гайдара ул, дом № 116;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";236004, Калининградская обл, Калининград г, Дзержинского ул, дом № 98;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";236006, Калининградская обл, Калининград г, Московский пр-кт, дом № 50;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";236011, Калининградская обл, Калининград г, Батальная ул, дом № 17Б;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";236044, Калининградская обл, Калининград г, Н.Карамзина ул, дом № 34;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";236048, Калининградская обл, Калининград г, Флотская ул, дом № 4;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";238050, Калининградская обл, Гусев, Железнодорожная ул, дом № 20;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";238150, Калининградская обл, Черняховский р-н, Черняховск г, Ленина ул, дом № 24;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";238340, Калининградская обл, Светлый г, Калининградская ул, дом № 21;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО СПб"" ООО";238750, Калининградская обл, Советск г, Матросова ул, дом № 4;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";340000, Ростовская обл, Батайск г, улица Кирова, дом 18 / улица Энгельса, дом 184;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";344000, Ростовская обл, Ростов-на-Дону г, Буденновский пр-кт, дом № 11/54/53;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";344004, Ростовская обл, Ростов-на-Дону г, Стачки пр-кт, дом № 26;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";344010, Ростовская обл, Ростов-на-Дону г, Текучева ул, дом № 143;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";344025, Ростовская обл, Ростов-на-Дону г, Богданова ул, дом № 79;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";"344029, Ростовская обл, Ростов-на-Дону г, 1-й Конной Армии ул, дом № 29 ""А""";Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";344038, Ростовская обл, Ростов-на-Дону г, Ленина пр-кт, дом № 44/6;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";344045, Ростовская обл, Ростов-на-Дону г, Миронова ул, дом № 10;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";344049, Ростовская обл, Ростов-на-Дону г, Еременко ул, дом № 97/29;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";344065, Ростовская обл, Ростов-на-Дону г, Днепровский пер, дом № 105;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";344068, Ростовская обл, Ростов-на-Дону г, Михаила Нагибина пр-кт, дом № 49;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";344069, Ростовская обл, Ростов-на-Дону г, Таганрогская ул, дом № 143;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";344090, Ростовская обл, Ростов-на-Дону г, Зорге ул, дом № 52;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";"344092, Ростовская обл, Ростов-на-Дону г, Космонавтов пр-кт, дом № 2/2, литер ""О"", 2 этаж, каб 211";Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";344092, Ростовская обл, Ростов-на-Дону г, Космонавтов пр-кт, дом № 6/13;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";344111, Ростовская обл, Ростов-на-Дону г, 40-летия Победы пр-кт, дом № 89;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";346130, Ростовская обл, Миллеровский р-н, Миллерово г, Коммунальный пер, дом № 5;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";346330, Ростовская обл, Донецк г, Мира пр-кт, дом № 142;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";346428, Ростовская обл, Новочеркасск г, Московская ул, дом № 68;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";346480, Ростовская обл, Октябрьский р-н, Каменоломни рп, им Крупской ул, дом № 59А;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";346500, Ростовская обл, Шахты г, Советская ул, дом № 184;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";346720, Ростовская обл, Аксайский р-н, Аксай г, Ленина пр-кт, дом № 29;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";346783, Ростовская обл, Азов г, Московская ул, дом № 292;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";346787, Ростовская обл, Азов, Ленина ул, дом № 81;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";346914, Ростовская обл, Новошахтинск г, Ленина пр-кт, дом № 32;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";347370, Ростовская обл, Волгодонск г, Ленина ул, дом № 103;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";347630, Ростовская обл, Сальский р-н, Сальск г, Свободы ул, дом № 60;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";347805, Ростовская обл, Каменск-Шахтинский г, Щаденко ул, дом № 156, корпус А;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";347871, Ростовская обл, Гуково г, Карла Маркса ул, дом № 77, корпус А;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";350000, Краснодарский край, Краснодар г, Октябрьская ул, дом № 179;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";350012, Краснодарский край, Краснодар г, Красных Партизан ул, дом № 1/4, корпус 1;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";350016, Краснодарский край, Краснодар г, им. Карякина ул, дом № 22;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";350020, Краснодарский край, Краснодар г, Красная ул, дом № 196;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";350024, Краснодарский край, Краснодар г, Агрохимическая ул, дом № 117;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";350031, Краснодарский край, Краснодар г, 2-я Целиноградская ул, дом № 44, корпус 2;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";350038, Краснодарский край, Краснодар г, Северная ул, дом № 500;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";350040, Краснодарский край, Краснодар г, Ставропольская ул, дом № 127;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";350042, Краснодарский край, Краснодар г, им. 40-летия Победы ул, дом № 18;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";350061, Краснодарский край, Краснодар г, им. Игнатова ул, дом № 55;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";350062, Краснодарский край, Краснодар г, им. Атарбекова ул, дом № 9;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";350063, Краснодарский край, Краснодар г, Кубанская Набережная ул, дом № 64;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";350080, Краснодарский край, Краснодар г, им. Тюляева ул, дом № 21;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";350089, Краснодарский край, Краснодар г, Чекистов пр-кт, дом № 28/1;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";350901, Краснодарский край, Краснодар г, Восточно-Кругликовская ул, дом № 22;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";352040, Краснодарский край, Павловский р-н, Павловская ст-ца, Ленина ул, дом № 15;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";352120, Краснодарский край, Тихорецкий р-н, Тихорецк г, Энгельса ул, дом № 112;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";352330, Краснодарский край, Усть-Лабинский р-н, Усть-Лабинск г, Красная ул, дом № 285;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";352380, Краснодарский край, Кавказский р-н, Кропоткин г, Красная ул, дом № 148;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";352630, Краснодарский край, Белореченский р-н, Белореченск г, Красная ул, дом № 59;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";352800, Краснодарский край, Туапсинский р-н, Туапсе г, Маршала Жукова ул, дом № 17/8;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";352900, Краснодарский край, Армавир г, Мира ул, дом № 43;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";352900, Краснодарский край, Армавир г, Тенистая ул, дом № 2;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";352922, Краснодарский край, Армавир г, Советской Армии ул, дом № 25;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";353180, Краснодарский край, Кореновский р-н, Кореновск г, Павлова ул, дом № 19, корпус А;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";353290, Краснодарский край, Горячий Ключ г, Ленина ул, дом № 196;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";353380, Краснодарский край, Крымский р-н, Крымск г, Демьяна Бедного ул, дом № 19;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";353380, Краснодарский край, Крымский р-н, Крымск г, Карла Либкнехта ул, дом № 36, корпус А;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";353440, Краснодарский край, Анапский р-н, Анапа, Шевченко ул, дом № 65;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";353445, Краснодарский край, Анапский р-н, Анапа г, Анапское ш, дом № 1Г;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";353460, Краснодарский край, Геленджик г, Садовая ул, дом № 17;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";353500, Краснодарский край, Темрюкский р-н, Темрюк г, Розы Люксембург ул, дом № 35;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";353560, Краснодарский край, Славянский р-н, Славянск-на-Кубани г, Красная ул, дом № 33;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";353680, Краснодарский край, Ейский р-н, Ейск г, Свердлова ул, дом № 109;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";353730, Краснодарский край, Каневской р-н, Каневская ст-ца, Горького ул, дом № 119, корпус А;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";353740, Краснодарский край, Ленинградский р-н, Ленинградская ст-ца, Базарный пер, дом № 26;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";353900, Краснодарский край, Новороссийск г, Им Адмирала Серебрякова наб, дом № 53, корпус А;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";353900, Краснодарский край, Новороссийск г, Советов ул, дом № 40;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";353910, Краснодарский край, Новороссийск г, Ленина пр-кт, дом № 22, корпус а;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";354000, Краснодарский край, Сочи г, Островского ул, дом № 67;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";354057, Краснодарский край, Сочи г, Туапсинская ул, дом № 13;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";354068, Краснодарский край, Сочи г, Донская ул, дом № 88;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";354200, Краснодарский край, Сочи г, Победы (Лазаревский р-н) пер, дом № 44;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";354340, Краснодарский край, Сочи г, Кирова ул, дом № 30;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";354340, Краснодарский край, Сочи г, Ленина ул, дом № 209;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";358000, Калмыкия Респ, Элиста г, им Губаревича ул, дом № 5Б, корпус 1;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";385000, Адыгея Респ, Майкоп г, Советская ул, дом № 197;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";385141, Адыгея Респ, Тахтамукайский р-н, Яблоновский пгт, Гагарина ул, дом № 144/1, корпус 3;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";400011, Волгоградская обл, Волгоград г, им Грибанова ул, дом № 5;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";400059, Волгоградская обл, Волгоград г, 64-й Армии ул, дом № 6;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";400065, Волгоградская обл, Волгоград г, Ополченская ул, дом № 42;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";400074, Волгоградская обл, Волгоград г, им Огарева ул, дом № 18;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";400082, Волгоградская обл, Волгоград г, 50 лет Октября ул, дом № 4;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";400087, Волгоградская обл, Волгоград г, Невская ул, дом № 11, корпус а;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";400105, Волгоградская обл, Волгоград г, им генерала Штеменко ул, дом № 43;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";400117, Волгоградская обл, Волгоград г, 8-й Воздушной Армии ул, дом № 33;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";400120, Волгоградская обл, Волгоград г, Новоузенская ул, дом № 4, корпус А;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";400121, Волгоградская обл, Волгоград г, им Николая Отрады ул, дом № 20, корпус Б;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";403343, Волгоградская обл, Михайловка г, Некрасова ул, дом № 28;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
"""ИНВИТРО-Ростов-на-Дону"" ООО";403886, Волгоградская обл, Камышин г, Рязано-Уральская ул, дом № 19;Организация услуг по направлению страховщика;Амбулаторно-поликлиническая помощь
